DrinkName,ModifiedDate,DrinkID,Alcoholic,Category,ImageUrlPath,Glass,IBA,Instruction,Ingredients,Measures
Casino,2017-09-02 11:36:19,17185,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Cocktail glass,Unforgettables,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,"[['Gin', 1], ['Maraschino liqueur', 2], ['Lemon juice', 3], ['Orange bitters', 4], ['Cherry', 5]]","[['2 oz ', 1], ['1/4 tsp ', 2], ['1/4 tsp ', 3], ['2 dashes ', 4], ['1 ', 5]]"
Casino Royale,2017-09-02 16:38:19,11224,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Whiskey sour glass,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","[['Gin', 1], ['Lemon juice', 2], ['Maraschino liqueur', 3], ['Orange bitters', 4], ['Egg yolk', 5]]","[['2 oz ', 1], ['1/2 oz ', 2], ['1 tsp ', 3], ['1 dash ', 4], ['1 ', 5]]"
Castillian Hot Chocolate,2017-02-20 15:06:36,12730,Non Alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Coffee mug,,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.","[['Cocoa powder', 1], ['Sugar', 2], ['Cornstarch', 3], ['Water', 4], ['Milk', 5]]","[['1/2 cup ', 1], ['1 cup ', 2], ['7 tsp ', 3], ['1/2 cup ', 4], ['1 qt ', 5]]"
Champagne Cocktail,2017-09-02 16:40:11,11227,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Champagne flute,Contemporary Classics,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,"[['Champagne', 1], ['Sugar', 2], ['Bitters', 3], ['Lemon peel', 4], ['Cognac', 5]]","[['Chilled ', 1], ['1 piece ', 2], ['2 dashes ', 3], ['1 twist of ', 4], ['1 dash', 5]]"
Cherry Electric Lemonade,2015-12-28 10:45:48,17174,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Pint glass,,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,"[['Gin', 1], ['Tequila', 2], ['Vodka', 3], ['White rum', 4], ['Triple Sec', 5], ['Cherry Grenadine', 6], ['Sweet and sour', 7], ['Club soda', 8]]","[['1 oz', 1], ['1 oz', 2], ['1 oz', 3], ['1 oz', 4], ['1 oz', 5], ['1 oz', 6], ['1 oz', 7], ['3 oz', 8]]"
Cherry Rum,2015-09-06 16:47:04,11239,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Cocktail glass,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[['Light rum', 1], ['Cherry brandy', 2], ['Light cream', 3]]","[['1 1/4 oz ', 1], ['1 1/2 tsp ', 2], ['1 tblsp ', 3]]"
Chicago Fizz,2015-09-02 16:29:23,11242,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Highball glass,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","[['Light rum', 1], ['Port', 2], ['Lemon', 3], ['Powdered sugar', 4], ['Egg white', 5], ['Carbonated water', 6]]","[['1 oz ', 1], ['1 oz ', 2], ['Juice of 1/2 ', 3], ['1 tsp ', 4], ['1 ', 5]]"
Chocolate Beverage,2017-02-20 15:06:26,12732,Non Alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Coffee mug,,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.","[['Milk', 1], ['Chocolate', 2], ['Cinnamon', 3], ['Egg', 4]]","[['6 cups ', 1], ['3 oz Mexican ', 2], ['1 tsp powdered ', 3], ['3 ', 4]]"
Chocolate Black Russian,2016-09-01 10:07:59,11243,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Champagne flute,,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,"[['Kahlua', 1], ['Vodka', 2], ['Chocolate ice-cream', 3]]","[['1 oz ', 1], ['1/2 oz ', 2], ['5 oz ', 3]]"
Chocolate Drink,2017-02-20 15:06:20,12734,Non Alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Coffee mug,,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.","[['Chocolate', 1], ['Milk', 2], ['Water', 3]]","[['125 gr', 1], ['3/4 L ', 2]]"
